 ,'&','(',')','*','+',"','",'-','/',';','<','<=','<>','=','==','>','>=','char','charType','else','float','floatType','id','if','int','intType','return','start','void','while','{','|','}',$end,AssignStmnt,CondStmnt,DataType,DeclStmnt,FuncDataType,FunctCall,IdList,IdListother,LoopStmnt,ParamList,RetStmnt,and,any,argument,arguments,arithemticOrBooleanexpr,arithmeticexpr,const,div,eq,expr,factor,function,functions,ge,gt,le,logicalop,lt,minus,mult,ne,newexpr2,newexpr3,newexpr4,newexpr5,or,plus,program,program1,relationalop,startprog,stmnt,stmnts,term,term1
95,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,115,,,,,,,,,,,,,,,,,,,,,,,58,
96,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,116,,,,,,,,,,,,,,,,,,,,,,,58,
97,r82,,r82,,r82,r82,r82,,r82,r82,r82,r82,,r82,r82,r82,,,,,,,,,,,,,,,r82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,r49,,,,,,,,,,,,,,,,r49,,,r49,r49,,,r49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,r33,,,,,,,,,,,,,,,,r33,,,r33,r33,,,r33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,57,,,,,,,,,,,,,,,,,,,,,,,58,117
101,r29,,r29,,,r29,,,r29,r29,r29,r29,,r29,r29,r29,,,,,,,,,,,,,,,r29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,s60,,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,57,,,,,,,,,,,,,,,,,,,,,,,58,118
103,,r62,,,,,,,,,,,,,,,,r62,,,r62,r62,,,r62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,r48,,,,,,,,,,,,,,,,r48,,,r48,r48,,,r48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,s119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,s120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,s121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,,,,s123,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,s124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,s60,r19,,,,,,,,,,,,,,,s44,,,s45,s62,,,s47,,,,,,,,,,,,,,,,,,125,,,53,,,54,55,42,,,71,57,,,,,,,,,,,,,,,,,,,,,,,58,59
111,,,,,,,,,,,,,,,,,r1,,,r1,,r1,r1,r1,,r1,,,r1,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,s78,,r52,,,r52,,,r52,,,,,,,,,,,,,,,,,,,,,,s79,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,75,,,,,127,,,,77,,,,,,,,,
114,r53,,r53,,,r53,,,r53,,,,,,,,,,,,,,,,,,,,,,r53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,r60,,r60,s98,r60,r60,r60,s99,r60,r60,r60,r60,,r60,r60,r60,,,,,,,,,,,,,,,r60,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,96,,,,,128,,,,,,,,,,
